GIDBG,State_name,County,Tract,Block_group,LAND_AREA,Pop_5yrs_Over_ACS_13_17,Othr_Lang_ACS_13_17,ENG_VW_SPAN_ACS_13_17,ENG_VW_INDO_EURO_ACS_13_17,ENG_VW_API_ACS_13_17,ENG_VW_OTHER_ACS_13_17,ENG_VW_ACS_13_17,pct_Hispanic_CEN_2010,pct_Hispanic_ACS_13_17,pct_ENG_VW_SPAN_ACS_13_17,pct_ENG_VW_INDOEURO_ACS_13_17,pct_ENG_VW_API_ACS_13_17,pct_ENG_VW_OTHER_ACS_13_17,pct_ENG_VW_ACS_13_17
110010033013,District of Columbia,001,003301,3,0.033,1104,165,0,7,0,0,7,3.6,6.88,0,1.25,0,0,1.25
110010033021,District of Columbia,001,003302,1,0.041,1044,118,0,0,0,0,0,7.95,5.63,0,0,0,0,0
110010033022,District of Columbia,001,003302,2,0.036,1091,89,0,0,0,0,0,3.85,3.75,0,0,0,0,0
110010034001,District of Columbia,001,003400,1,0.041,1505,131,0,0,23,0,23,4.41,3.44,0,0,4.49,0,4.49
110010034002,District of Columbia,001,003400,2,0.314,3218,382,32,0,0,0,32,5.94,12.25,5.59,0,0,0,5.59
110010035001,District of Columbia,001,003500,1,0.048,1766,406,36,0,14,24,74,19.01,11.68,5.44,0,2.11,3.63,11.18
110010035002,District of Columbia,001,003500,2,0.1,3603,429,9,0,0,16,25,3.17,2.46,1.8,0,0,3.21,5.01
110010036001,District of Columbia,001,003600,1,0.029,1407,415,10,0,0,0,10,17.27,11.77,1.33,0,0,0,1.33
110010036002,District of Columbia,001,003600,2,0.028,1425,225,0,0,0,0,0,25.31,15.27,0,0,0,0,0
110010036003,District of Columbia,001,003600,3,0.06,1800,268,18,0,0,0,18,15.29,12.83,2.49,0,0,0,2.49
110010037001,District of Columbia,001,003700,1,0.024,1700,341,12,0,0,0,12,28.72,16.82,1.58,0,0,0,1.58
110010037002,District of Columbia,001,003700,2,0.046,1899,306,15,0,0,0,15,20.54,6.28,1.58,0,0,0,1.58
110010037003,District of Columbia,001,003700,3,0.043,1795,655,67,0,0,0,67,38.18,52.62,7.56,0,0,0,7.56
110010038001,District of Columbia,001,003800,1,0.045,2329,761,56,0,0,0,56,21.55,23.71,4.88,0,0,0,4.88
110010038002,District of Columbia,001,003800,2,0.058,1669,346,59,0,0,0,59,12.11,16.77,5.6,0,0,0,5.6
110010038003,District of Columbia,001,003800,3,0.035,1034,355,0,13,0,0,13,28.81,20.41,0,2.36,0,0,2.36
110010039001,District of Columbia,001,003900,1,0.018,1404,356,22,0,0,16,38,12.81,10.75,2.48,0,0,1.8,4.28
110010039002,District of Columbia,001,003900,2,0.081,1080,278,0,0,0,0,0,9.38,2.05,0,0,0,0,0
110010039003,District of Columbia,001,003900,3,0.029,1107,337,17,0,0,16,33,14.72,13.64,2.5,0,0,2.35,4.85
110010039004,District of Columbia,001,003900,4,0.019,898,275,0,0,0,0,0,12.14,15.03,0,0,0,0,0
110010040011,District of Columbia,001,004001,1,0.034,1820,270,0,0,0,0,0,11.11,10.2,0,0,0,0,0
110010040012,District of Columbia,001,004001,2,0.017,591,77,0,0,0,0,0,5.73,4.57,0,0,0,0,0
110010040013,District of Columbia,001,004001,3,0.054,1828,548,51,0,0,15,66,8.77,20.3,4.74,0,0,1.4,6.14
110010040021,District of Columbia,001,004002,1,0.016,624,96,0,0,0,0,0,15,6.03,0,0,0,0,0
110010040022,District of Columbia,001,004002,2,0.032,1906,486,14,8,0,0,22,6.28,8.28,1.34,0.76,0,0,2.1
110010040023,District of Columbia,001,004002,3,0.027,580,189,0,21,11,0,32,8.9,5.11,0,5.01,2.63,0,7.64
110010041001,District of Columbia,001,004100,1,0.039,1211,334,12,9,0,0,21,10.66,2.45,1.63,1.22,0,0,2.85
110010041002,District of Columbia,001,004100,2,0.112,575,188,11,0,0,0,11,7.3,19.62,3.06,0,0,0,3.06
110010041003,District of Columbia,001,004100,3,0.153,741,104,0,0,0,0,0,9.78,10.91,0,0,0,0,0
110010042011,District of Columbia,001,004201,1,0.035,1458,272,13,9,0,0,22,10.95,10.77,1.28,0.89,0,0,2.17
110010042012,District of Columbia,001,004201,2,0.044,2108,152,0,0,0,0,0,5.71,2.66,0,0,0,0,0
110010042021,District of Columbia,001,004202,1,0.043,1196,181,13,0,9,0,22,7.15,9.93,1.74,0,1.21,0,2.95
110010042022,District of Columbia,001,004202,2,0.038,1286,347,0,0,0,0,0,8.35,17.63,0,0,0,0,0
110010043001,District of Columbia,001,004300,1,0.047,2031,526,63,0,0,15,78,14.94,16.49,5.16,0,0,1.23,6.38
110010043002,District of Columbia,001,004300,2,0.044,1812,332,0,0,0,31,31,15.42,6.11,0,0,0,3.24,3.24
110010044001,District of Columbia,001,004400,1,0.095,3158,509,27,0,0,0,27,8.16,7.2,1.44,0,0,0,1.44
110010044002,District of Columbia,001,004400,2,0.106,1995,274,0,0,13,0,13,10.59,4.33,0,0,1.42,0,1.42
110010046001,District of Columbia,001,004600,1,0.054,1182,135,17,0,0,0,17,8.16,10.16,2.96,0,0,0,2.96
110010046002,District of Columbia,001,004600,2,0.115,1568,180,0,0,0,0,0,6.75,4.2,0,0,0,0,0
110010047011,District of Columbia,001,004701,1,0.036,1043,0,0,0,0,0,0,1.44,2.17,0,0,0,0,0
110010047012,District of Columbia,001,004701,2,0.088,3461,579,0,0,146,0,146,3.2,12.96,0,0,7.38,0,7.38
110010047021,District of Columbia,001,004702,1,0.125,3044,451,12,19,4,0,35,5.27,7.73,0.72,1.14,0.24,0,2.1
110010048011,District of Columbia,001,004801,1,0.123,2657,345,0,0,0,9,9,8.91,7.93,0,0,0,0.79,0.79
110010048021,District of Columbia,001,004802,1,0.054,1459,273,0,0,0,0,0,6.77,11.37,0,0,0,0,0
110010048022,District of Columbia,001,004802,2,0.057,1981,362,0,0,38,9,47,8.25,5.1,0,0,3.92,0.93,4.85
110010049011,District of Columbia,001,004901,1,0.033,1211,240,15,6,0,0,21,9.54,10.84,2.98,1.19,0,0,4.17
110010049012,District of Columbia,001,004901,2,0.072,1491,334,35,0,11,0,46,7.2,18.2,4.44,0,1.4,0,5.84
110010049021,District of Columbia,001,004902,1,0.025,843,363,37,0,8,0,45,30.64,37.37,9.87,0,2.13,0,12
110010049022,District of Columbia,001,004902,2,0.077,2158,368,0,0,0,7,7,11.63,20.36,0,0,0,0.62,0.62
110010050011,District of Columbia,001,005001,1,0.04,804,220,49,0,0,0,49,7.65,9.34,12.96,0,0,0,12.96
110010050012,District of Columbia,001,005001,2,0.039,1133,265,0,0,0,0,0,9.31,24.01,0,0,0,0,0
110010050021,District of Columbia,001,005002,1,0.015,1649,498,93,0,0,15,108,33.96,25.9,8.87,0,0,1.43,10.3
110010050022,District of Columbia,001,005002,2,0.035,1800,331,29,14,0,0,43,11.66,15.34,2.47,1.19,0,0,3.66
110010050023,District of Columbia,001,005002,3,0.027,1271,442,95,0,0,0,95,23.21,45.42,15.5,0,0,0,15.5
110010050024,District of Columbia,001,005002,4,0.012,906,198,0,0,0,0,0,44.97,9.88,0,0,0,0,0
110010052011,District of Columbia,001,005201,1,0.022,1839,398,0,0,43,0,43,16.13,20.71,0,0,3.15,0,3.15
110010052012,District of Columbia,001,005201,2,0.052,1432,252,0,0,0,0,0,5.47,10.27,0,0,0,0,0
110010052013,District of Columbia,001,005201,3,0.014,901,268,48,0,0,0,48,10.52,20.53,7.24,0,0,0,7.24
110010052014,District of Columbia,001,005201,4,0.043,1939,203,0,0,0,0,0,6.14,3.75,0,0,0,0,0
110010053011,District of Columbia,001,005301,1,0.019,942,162,20,0,0,0,20,7.07,14.79,3.37,0,0,0,3.37
110010053012,District of Columbia,001,005301,2,0.034,1148,130,0,0,0,0,0,5.87,6.01,0,0,0,0,0
110010053013,District of Columbia,001,005301,3,0.031,1482,362,0,0,0,0,0,10.74,14.3,0,0,0,0,0
110010053014,District of Columbia,001,005301,4,0.026,1176,304,0,14,50,0,64,9.67,3.49,0,1.63,5.81,0,7.44
110010055001,District of Columbia,001,005500,1,0.06,867,80,0,0,0,0,0,6.16,16.72,0,0,0,0,0
110010055002,District of Columbia,001,005500,2,0.082,2182,746,0,25,47,0,72,7.3,8.5,0,1.81,3.41,0,5.22
110010055003,District of Columbia,001,005500,3,0.063,1893,422,0,0,64,0,64,7.27,3.96,0,0,5.12,0,5.12
110010055004,District of Columbia,001,005500,4,0.019,932,147,64,0,0,0,64,8.57,14.81,13.31,0,0,0,13.31
