WKT,GEOID,NAME,TotalForeignBornE,TotalForeignBornM,EuropeE,EuropeM,Northern EuropeE,Northern EuropeM,United Kingdom (inc. Crown Dependencies)E,United Kingdom (inc. Crown Dependencies)M,United Kingdom excluding England and ScotlandE,United Kingdom excluding England and ScotlandM,EnglandE,EnglandM,ScotlandE,ScotlandM,IrelandE,IrelandM,DenmarkE,DenmarkM,NorwayE,NorwayM,SwedenE,SwedenM,Other Northern EuropeE,Other Northern EuropeM,Western EuropeE,Western EuropeM,AustriaE,AustriaM,BelgiumE,BelgiumM,FranceE,FranceM,GermanyE,GermanyM,NetherlandsE,NetherlandsM,SwitzerlandE,SwitzerlandM,Other Western EuropeE,Other Western EuropeM,Southern EuropeE,Southern EuropeM,GreeceE,GreeceM,ItalyE,ItalyM,PortugalE,PortugalM,Azores IslandsE,Azores IslandsM,SpainE,SpainM,Other Southern EuropeE,Other Southern EuropeM,Eastern EuropeE,Eastern EuropeM,AlbaniaE,AlbaniaM,BelarusE,BelarusM,BulgariaE,BulgariaM,CroatiaE,CroatiaM,Czechoslovakia (includes Czech Republic and Slovakia)E,Czechoslovakia (includes Czech Republic and Slovakia)M,HungaryE,HungaryM,LatviaE,LatviaM,LithuaniaE,LithuaniaM,MacedoniaE,MacedoniaM,MoldovaE,MoldovaM,PolandE,PolandM,RomaniaE,RomaniaM,RussiaE,RussiaM,UkraineE,UkraineM,Bosnia and HerzegovinaE,Bosnia and HerzegovinaM,SerbiaE,SerbiaM,Other Eastern EuropeE,Other Eastern EuropeM,Europe n.e.c.E,Europe n.e.c.M,AsiaE,AsiaM,Eastern AsiaE,Eastern AsiaM,ChinaE,ChinaM,China excluding Hong Kong and TaiwanE,China excluding Hong Kong and TaiwanM,Hong KongE,Hong KongM,TaiwanE,TaiwanM,JapanE,JapanM,KoreaE,KoreaM,Other Eastern AsiaE,Other Eastern AsiaM,South Central AsiaE,South Central AsiaM,AfghanistanE,AfghanistanM,BangladeshE,BangladeshM,IndiaE,IndiaM,IranE,IranM,KazakhstanE,KazakhstanM,NepalE,NepalM,PakistanE,PakistanM,Sri LankaE,Sri LankaM,UzbekistanE,UzbekistanM,Other South Central AsiaE,Other South Central AsiaM,South Eastern AsiaE,South Eastern AsiaM,CambodiaE,CambodiaM,IndonesiaE,IndonesiaM,LaosE,LaosM,MalaysiaE,MalaysiaM,BurmaE,BurmaM,PhilippinesE,PhilippinesM,SingaporeE,SingaporeM,ThailandE,ThailandM,VietnamE,VietnamM,Other South Eastern AsiaE,Other South Eastern AsiaM,Western AsiaE,Western AsiaM,IraqE,IraqM,IsraelE,IsraelM,JordanE,JordanM,KuwaitE,KuwaitM,LebanonE,LebanonM,Saudi ArabiaE,Saudi ArabiaM,SyriaE,SyriaM,YemenE,YemenM,TurkeyE,TurkeyM,ArmeniaE,ArmeniaM,Other Western AsiaE,Other Western AsiaM,Asia n.e.c.E,Asia n.e.c.M,AfricaE,AfricaM,Eastern AfricaE,Eastern AfricaM,EritreaE,EritreaM,EthiopiaE,EthiopiaM,KenyaE,KenyaM,SomaliaE,SomaliaM,Other Eastern AfricaE,Other Eastern AfricaM,Middle AfricaE,Middle AfricaM,CameroonE,CameroonM,Other Middle AfricaE,Other Middle AfricaM,Northern AfricaE,Northern AfricaM,EgyptE,EgyptM,MoroccoE,MoroccoM,SudanE,SudanM,Other Northern AfricaE,Other Northern AfricaM,Southern AfricaE,Southern AfricaM,South AfricaE,South AfricaM,Other Southern AfricaE,Other Southern AfricaM,Western AfricaE,Western AfricaM,Cabo VerdeE,Cabo VerdeM,GhanaE,GhanaM,LiberiaE,LiberiaM,NigeriaE,NigeriaM,Sierra LeoneE,Sierra LeoneM,Other Western AfricaE,Other Western AfricaM,Africa n.e.c.E,Africa n.e.c.M,OceaniaE,OceaniaM,Australia and New Zealand SubregionE,Australia and New Zealand SubregionM,AustraliaE,AustraliaM,Other Australian and New Zealand SubregionE,Other Australian and New Zealand SubregionM,FijiE,FijiM,Oceania n.e.c.E,Oceania n.e.c.M,AmericasE,AmericasM,Latin AmericaE,Latin AmericaM,CaribbeanE,CaribbeanM,BahamasE,BahamasM,BarbadosE,BarbadosM,CubaE,CubaM,DominicaE,DominicaM,Dominican RepublicE,Dominican RepublicM,GrenadaE,GrenadaM,HaitiE,HaitiM,JamaicaE,JamaicaM,St. Vincent and the GrenadinesE,St. Vincent and the GrenadinesM,Trinidad and TobagoE,Trinidad and TobagoM,West IndiesE,West IndiesM,Other CaribbeanE,Other CaribbeanM,Central AmericaE,Central AmericaM,MexicoE,MexicoM,BelizeE,BelizeM,Costa RicaE,Costa RicaM,El SalvadorE,El SalvadorM,GuatemalaE,GuatemalaM,HondurasE,HondurasM,NicaraguaE,NicaraguaM,PanamaE,PanamaM,Other Central AmericaE,Other Central AmericaM,South AmericaE,South AmericaM,ArgentinaE,ArgentinaM,BoliviaE,BoliviaM,BrazilE,BrazilM,ChileE,ChileM,ColombiaE,ColombiaM,EcuadorE,EcuadorM,GuyanaE,GuyanaM,PeruE,PeruM,UruguayE,UruguayM,VenezuelaE,VenezuelaM,Other South AmericaE,Other South AmericaM,Northern AmericaE,Northern AmericaM,CanadaE,CanadaM,Other Northern AmericaE,Other Northern AmericaM
"POLYGON ((-77.050181 38.921241,-77.04854 38.922771,-77.048565 38.923344,-77.04734 38.923248,-77.043359 38.923239,-77.042684 38.922661,-77.043143 38.922334,-77.044398 38.919664,-77.044781 38.919052,-77.046268 38.916596,-77.046285 38.915991,-77.047027 38.917331,-77.04794 38.918613,-77.048608 38.918797,-77.050181 38.921241))","11001004001","Census Tract 40.01, District of Columbia, District of Columbia",475,150,98,72,30,35,17,28,17,28,0,12,0,12,13,22,0,12,0,12,0,12,0,12,38,39,0,12,0,12,11,18,27,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,30,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,22,16,28,0,12,0,12,0,12,0,12,0,12,0,12,65,71,12,19,0,12,0,12,0,12,0,12,12,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,53,67,0,12,0,12,0,12,0,12,0,12,18,30,0,12,0,12,35,60,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,29,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,22,0,12,0,12,0,12,15,22,0,12,0,12,0,12,14,22,0,12,0,12,0,12,0,12,0,12,14,22,0,12,13,21,13,21,13,21,0,12,0,12,0,12,270,108,255,108,12,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,19,0,12,0,12,157,84,35,58,0,12,0,12,91,32,31,47,0,12,0,12,0,12,0,12,86,77,0,12,41,66,17,26,0,12,14,22,0,12,0,12,0,12,14,23,0,12,0,12,15,23,15,23,0,12
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02, District of Columbia, District of Columbia",461,141,218,99,35,25,29,23,12,18,17,18,0,12,0,12,0,12,0,12,0,12,6,9,63,42,0,12,0,12,15,15,29,25,19,29,0,12,0,12,11,12,0,12,11,12,0,12,0,12,0,12,0,12,109,83,0,12,15,23,0,12,25,27,13,20,0,12,0,12,0,12,0,12,0,12,2,4,0,12,28,43,8,12,0,12,0,12,18,30,0,12,106,56,27,33,27,33,23,32,4,8,0,12,0,12,0,12,0,12,35,46,0,12,0,12,35,46,0,12,0,12,0,12,0,12,0,12,0,12,0,12,28,23,0,12,0,12,0,12,0,12,0,12,0,12,7,10,4,8,17,20,0,12,16,22,0,12,0,12,0,12,0,12,0,12,0,12,16,22,0,12,0,12,0,12,0,12,0,12,22,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,22,21,0,12,0,12,0,12,22,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,8,4,8,4,8,0,12,0,12,0,12,111,77,105,77,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,33,41,33,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,72,62,16,19,0,12,34,54,0,12,21,23,1,6,0,12,0,12,0,12,0,12,0,12,6,9,6,9,0,12
"POLYGON ((-77.028013 38.961226,-77.027889 38.9627,-77.02771 38.964954,-77.027501 38.967288,-77.027265 38.969925,-77.025406 38.969924,-77.019895 38.969923,-77.019895 38.967288,-77.019897 38.96495,-77.019895 38.963772,-77.019896 38.9627,-77.019897 38.958733,-77.027922 38.960918,-77.028031 38.961014,-77.028013 38.961226))","11001001901","Census Tract 19.01, District of Columbia, District of Columbia",682,265,40,41,9,15,0,12,0,12,0,12,0,12,9,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,34,0,12,0,12,0,12,0,12,21,34,0,12,10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,112,91,44,70,44,70,44,70,0,12,0,12,0,12,0,12,0,12,54,65,0,12,37,59,17,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,10,0,12,6,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,12,0,12,8,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,172,100,129,98,59,88,36,35,0,12,0,12,34,45,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,0,12,10,15,33,27,0,12,0,12,9,14,17,19,0,12,7,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,358,223,351,223,156,84,7,12,0,12,0,12,0,12,0,12,0,12,21,29,107,76,0,12,0,12,7,10,14,22,88,115,9,14,0,12,0,12,79,112,0,12,0,12,0,12,0,12,0,12,107,96,8,12,0,12,0,12,0,12,0,12,0,12,21,30,78,86,0,12,0,12,0,12,7,11,7,11,0,12
"POLYGON ((-77.0465412510744 38.990942893929,-77.0423889986637 38.9940648882228,-77.040999 38.99511,-77.0367692514116 38.9920501818722,-77.0364613501893 38.9918274448178,-77.036299 38.99171,-77.033707359689 38.9897319353213,-77.0312349218127 38.9878448516807,-77.0266962184868 38.9843806947535,-77.0266345528952 38.9843336286046,-77.0265907040259 38.9843001610361,-77.026426 38.978303,-77.026433 38.977982,-77.032967 38.978024,-77.036364 38.974864,-77.036371 38.972269,-77.037462 38.973055,-77.040093 38.972836,-77.039561 38.974222,-77.040153 38.976399,-77.043956 38.97827,-77.044735 38.979925,-77.043529 38.9808,-77.042302 38.980181,-77.040779 38.980876,-77.040146 38.982504,-77.042382 38.983852,-77.045758 38.984151,-77.0516625043103 38.9870923275862,-77.0465412510744 38.990942893929))","11001001600","Census Tract 16, District of Columbia, District of Columbia",554,204,116,63,28,25,19,20,17,19,2,4,0,12,0,12,0,12,9,15,0,12,0,12,49,49,0,12,0,12,9,14,40,47,0,12,0,12,0,12,17,23,17,23,0,12,0,12,0,12,0,12,0,12,22,33,0,12,0,12,0,12,0,12,12,18,0,12,0,12,0,12,0,12,0,12,10,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,72,54,7,10,0,12,0,12,0,12,0,12,1,3,6,9,0,12,34,45,0,12,1,3,0,12,7,11,0,12,26,43,0,12,0,12,0,12,0,12,18,21,0,12,0,12,0,12,0,12,10,15,0,12,0,12,8,14,0,12,0,12,13,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,21,0,12,0,12,0,12,197,161,141,154,0,12,68,103,0,12,0,12,73,112,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,13,9,13,0,12,47,48,0,12,32,51,0,12,1,5,0,12,14,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,169,76,165,78,75,55,0,12,0,12,0,12,0,12,0,12,0,12,0,12,64,52,11,16,0,12,0,12,0,12,26,30,17,18,0,12,0,12,0,12,1,3,0,12,0,12,8,14,0,12,64,49,0,12,0,12,26,30,0,12,1,3,12,19,15,17,10,16,0,12,0,12,0,12,4,9,4,9,0,12
"POLYGON ((-77.051539 38.93967,-77.051209 38.94045,-77.051156 38.941718,-77.050019 38.943254,-77.049674 38.943759,-77.049655 38.943779,-77.047684 38.945771,-77.046147 38.945507,-77.044116 38.948103,-77.044961 38.948346,-77.04509 38.948035,-77.045288 38.947871,-77.045572 38.947773,-77.046015 38.947857,-77.046854 38.948201,-77.046998 38.948502,-77.047057 38.94965,-77.046609 38.950046,-77.04572 38.950494,-77.044988 38.951239,-77.044842 38.951974,-77.044142 38.952888,-77.042186 38.954585,-77.041828 38.958135,-77.040503 38.959586,-77.042193 38.960394,-77.038708 38.959721,-77.039788 38.957243,-77.038538 38.956043,-77.036398 38.956212,-77.036415 38.952535,-77.036424 38.94826,-77.036441 38.941874,-77.036445 38.938231,-77.03743 38.937852,-77.038621 38.937211,-77.040928 38.936285,-77.045414 38.935879,-77.047713 38.935053,-77.04824 38.934157,-77.050198 38.933065,-77.050424 38.933189,-77.050503 38.933224,-77.048033 38.935054,-77.047878 38.936966,-77.048367 38.937277,-77.050298 38.937187,-77.051384 38.937434,-77.052029 38.937778,-77.051539 38.93967))","11001002600","Census Tract 26, District of Columbia, District of Columbia",366,88,77,42,23,15,18,16,4,8,14,15,0,12,5,7,0,12,0,12,0,12,0,12,40,36,6,9,0,12,0,12,12,14,0,12,22,29,0,12,5,8,0,12,5,8,0,12,0,12,0,12,0,12,9,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,9,0,12,121,59,59,36,15,13,15,13,0,12,0,12,39,34,5,7,0,12,35,34,0,12,0,12,10,15,15,22,0,12,0,12,10,12,0,12,0,12,0,12,18,21,0,12,0,12,0,12,0,12,12,19,6,9,0,12,0,12,0,12,0,12,9,13,0,12,0,12,0,12,0,12,9,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,52,43,34,39,0,12,24,35,5,8,0,12,5,9,0,12,0,12,0,12,12,13,12,13,0,12,0,12,0,12,0,12,0,12,0,12,6,9,0,12,0,12,6,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,116,53,90,54,18,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,8,0,12,7,12,0,12,6,9,19,27,0,12,0,12,0,12,19,27,0,12,0,12,0,12,0,12,0,12,53,34,0,12,0,12,9,12,8,13,14,21,0,12,0,12,18,20,0,12,4,7,0,12,26,17,26,17,0,12
"POLYGON ((-77.019007 38.894679,-77.018927 38.901124,-77.014076 38.899382,-77.012349 38.898824,-77.009066 38.897555,-77.00906 38.895103,-77.013179 38.89209,-77.014022 38.892082,-77.016258 38.891884,-77.019899 38.892759,-77.019007 38.894679))","11001005900","Census Tract 59, District of Columbia, District of Columbia",329,136,46,33,16,21,8,17,8,17,0,12,0,12,0,12,8,12,0,12,0,12,0,12,9,11,0,12,0,12,6,10,3,5,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,19,0,12,0,12,0,12,0,12,0,12,148,100,125,96,91,90,85,89,6,10,0,12,17,19,17,24,0,12,15,24,0,12,0,12,0,12,0,12,0,12,0,12,15,24,0,12,0,12,0,12,8,9,0,12,0,12,0,12,0,12,0,12,4,6,4,6,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,22,0,12,0,12,8,18,9,13,0,12,0,12,0,12,5,10,5,10,5,10,0,12,0,12,0,12,113,72,81,54,17,19,0,12,0,12,0,12,0,12,9,14,0,12,0,12,8,12,0,12,0,12,0,12,0,12,31,30,23,27,0,12,8,14,0,12,0,12,0,12,0,12,0,12,0,12,33,38,0,12,0,12,0,12,0,12,25,36,0,12,0,12,8,13,0,12,0,12,0,12,32,35,32,35,0,12
"POLYGON ((-77.057787 38.902545,-77.056637 38.903295,-77.055916 38.904536,-77.051416 38.902977,-77.050785 38.902463,-77.05012 38.901987,-77.050131 38.899574,-77.050135 38.898327,-77.050117 38.896024,-77.052624 38.896118,-77.053138 38.898683,-77.053383 38.897512,-77.056653 38.897669,-77.058538 38.901036,-77.057787 38.902545))","11001005600","Census Tract 56, District of Columbia, District of Columbia",2374,452,530,205,139,118,28,34,28,34,0,17,0,17,75,103,0,17,0,17,36,51,0,17,160,121,14,23,17,27,99,92,30,47,0,17,0,17,0,17,91,92,0,17,76,89,0,17,0,17,15,23,0,17,140,70,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,53,48,17,26,36,50,27,28,7,15,0,17,0,17,0,17,0,17,873,268,231,102,170,81,120,65,17,27,33,45,7,12,54,49,0,17,467,214,0,17,11,22,383,211,0,17,0,17,0,17,14,21,0,17,59,95,0,17,60,60,0,17,8,19,0,17,0,17,0,17,31,47,0,17,0,17,21,33,0,17,115,106,0,17,0,17,0,17,10,16,0,17,40,47,0,17,0,17,65,95,0,17,0,17,0,17,196,142,22,50,0,17,22,50,0,17,0,17,0,17,0,17,0,17,0,17,80,103,80,103,0,17,0,17,0,17,23,36,23,36,0,17,25,33,0,17,0,17,0,17,25,33,0,17,0,17,46,72,34,52,34,52,34,52,0,17,0,17,0,17,741,319,689,313,69,72,0,17,0,17,0,17,0,17,0,17,0,17,15,24,47,74,0,17,7,15,0,17,0,17,231,184,83,117,0,17,0,17,63,110,60,87,17,33,0,17,8,17,0,17,389,170,102,94,0,17,46,41,35,58,53,48,7,18,0,17,86,85,15,31,45,65,0,17,52,58,52,58,0,17
"POLYGON ((-77.0169 38.914137,-77.014085 38.912935,-77.012157 38.912117,-77.009026 38.910783,-77.009002 38.907274,-77.01216 38.906269,-77.01365 38.905813,-77.014814 38.905417,-77.015441 38.907235,-77.015908 38.908574,-77.016154 38.909247,-77.016163 38.909642,-77.016295 38.909642,-77.018109 38.914646,-77.0169 38.914137))","11001004600","Census Tract 46, District of Columbia, District of Columbia",166,87,22,24,14,18,14,18,10,17,4,8,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,14,0,12,8,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,61,44,36,43,16,28,16,28,0,12,0,12,0,12,20,31,0,12,7,13,0,12,0,12,0,12,0,12,0,12,7,13,0,12,0,12,0,12,0,12,18,24,11,24,0,12,0,12,0,12,0,12,7,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,23,37,23,37,0,12,23,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,60,62,60,62,59,62,0,12,0,12,0,12,0,12,38,52,0,12,0,12,21,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1,19,0,12,0,12,0,12,0,12,1,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"POLYGON ((-77.036524 38.909642,-77.036518 38.911124,-77.036515 38.912609,-77.036509 38.914093,-77.034545 38.914092,-77.031951 38.914094,-77.031952 38.909648,-77.03195 38.907727,-77.03164 38.905929,-77.031535 38.905507,-77.032125 38.905305,-77.032394 38.905736,-77.034568 38.906558,-77.036185 38.907132,-77.036529 38.907459,-77.036524 38.909642))","11001005201","Census Tract 52.01, District of Columbia, District of Columbia",1446,431,504,267,203,179,80,81,80,81,0,17,0,17,123,161,0,17,0,17,0,17,0,17,201,161,21,33,29,47,131,144,20,32,0,17,0,17,0,17,29,48,0,17,29,48,0,17,0,17,0,17,0,17,71,68,0,17,20,34,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,51,60,0,17,0,17,0,17,0,17,0,17,366,166,150,111,52,76,0,17,0,17,52,76,47,55,51,65,0,17,94,79,0,17,0,17,70,68,0,17,0,17,0,17,0,17,0,17,24,40,0,17,105,105,0,17,0,17,0,17,0,17,0,17,57,67,0,17,0,17,48,76,0,17,17,28,0,17,0,17,17,28,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,53,62,53,62,0,17,21,34,32,52,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,523,345,523,345,48,59,0,17,0,17,32,51,0,17,16,27,0,17,0,17,0,17,0,17,0,17,0,17,0,17,281,294,100,102,0,17,0,17,181,239,0,17,0,17,0,17,0,17,0,17,194,140,0,17,0,17,21,34,0,17,93,121,0,17,0,17,58,65,0,17,22,37,0,17,0,17,0,17,0,17
"POLYGON ((-76.957496 38.88363,-76.955232 38.886797,-76.952946 38.889821,-76.948282 38.88982,-76.947245 38.889839,-76.937878 38.889884,-76.939889 38.888198,-76.940555 38.886544,-76.94093 38.884581,-76.94252 38.882476,-76.942977 38.882112,-76.944179 38.881417,-76.945772 38.880869,-76.946677 38.88283,-76.947812 38.882842,-76.953091 38.883611,-76.956266 38.88363,-76.957496 38.88363))","11001007703","Census Tract 77.03, District of Columbia, District of Columbia",297,419,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,23,39,23,39,23,39,23,39,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,5,13,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,5,13,0,17,0,17,0,17,5,13,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,269,418,269,418,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,269,418,269,418,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
"POLYGON ((-76.944864 38.879093,-76.942897 38.880366,-76.936264 38.880209,-76.93304 38.881491,-76.93101 38.88068,-76.929316 38.880674,-76.925954 38.881082,-76.9240349501798 38.881405225682,-76.9298866240579 38.8768232228149,-76.9337188787997 38.8738224742119,-76.9338048141363 38.8737551847548,-76.9349713257387 38.8728417778189,-76.942981 38.877043,-76.944864 38.879093))","11001007707","Census Tract 77.07, District of Columbia, District of Columbia",36,38,28,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,28,35,0,12,0,12,0,12,28,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,8,13,8,13,0,12,0,12,0,12,0,12,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"POLYGON ((-76.994961 38.891723,-76.994961 38.892017,-76.994962 38.894783,-76.994962 38.895378,-76.991525 38.896786,-76.99025 38.897307,-76.990244 38.894784,-76.990241 38.893574,-76.990246 38.892012,-76.99024 38.890375,-76.991533 38.889805,-76.994962 38.889806,-76.994961 38.891723))","11001008100","Census Tract 81, District of Columbia, District of Columbia",205,80,54,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,18,0,12,0,12,0,12,7,10,9,14,0,12,0,12,19,22,0,12,10,17,0,12,0,12,9,14,0,12,19,22,1,4,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,10,0,12,0,12,12,17,0,12,0,12,0,12,0,12,85,70,12,17,3,6,3,6,0,12,0,12,0,12,9,15,0,12,55,61,0,12,0,12,37,55,18,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,28,0,12,9,14,0,12,9,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,14,9,14,0,12,1,4,0,12,0,12,1,4,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,56,33,40,28,22,19,0,12,0,12,4,8,0,12,10,14,0,12,0,12,0,12,0,12,0,12,0,12,8,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,22,0,12,0,12,0,12,0,12,0,12,8,14,0,12,0,12,0,12,0,12,10,16,16,19,16,19,0,12
