GIDBG,State,State_name,County,County_name,Tract,Block_group,Flag,LAND_AREA,AIAN_LAND,URBANIZED_AREA_POP_CEN_2010,URBAN_CLUSTER_POP_CEN_2010,RURAL_POP_CEN_2010,Tot_Population_CEN_2010,Tot_Population_ACS_13_17,Pop_18_24_ACS_13_17,Pop_25_44_ACS_13_17,Pop_45_64_ACS_13_17,Pop_65plus_ACS_13_17,Hispanic_ACS_13_17,NH_White_alone_ACS_13_17,NH_Blk_alone_ACS_13_17,NH_AIAN_alone_ACS_13_17,NH_Asian_alone_ACS_13_17,Pop_5yrs_Over_ACS_13_17,Othr_Lang_ACS_13_17,ENG_VW_SPAN_ACS_13_17,ENG_VW_INDO_EURO_ACS_13_17,ENG_VW_API_ACS_13_17,ENG_VW_OTHER_ACS_13_17,ENG_VW_ACS_13_17,Mail_Return_Rate_CEN_2010,Low_Response_Score,pct_Pop_18_24_ACS_13_17,pct_Pop_25_44_ACS_13_17,pct_Pop_45_64_ACS_13_17,pct_Pop_65plus_ACS_13_17,pct_Hispanic_CEN_2010,pct_Hispanic_ACS_13_17,pct_NH_White_alone_CEN_2010,pct_NH_White_alone_ACS_13_17,pct_NH_Blk_alone_CEN_2010,pct_NH_Blk_alone_ACS_13_17,pct_NH_AIAN_alone_CEN_2010,pct_NH_AIAN_alone_ACS_13_17,pct_NH_Asian_alone_CEN_2010,pct_NH_Asian_alone_ACS_13_17,pct_NH_NHOPI_alone_CEN_2010,pct_NH_NHOPI_alone_ACS_13_17,pct_NH_SOR_alone_CEN_2010,pct_NH_SOR_alone_ACS_13_17,pct_ENG_VW_SPAN_ACS_13_17,pct_ENG_VW_INDOEURO_ACS_13_17,pct_ENG_VW_API_ACS_13_17,pct_ENG_VW_OTHER_ACS_13_17,pct_ENG_VW_ACS_13_17
110010098031,11,District of Columbia,001,District of Columbia,009803,1,,0.082,0,1001,0,0,1001,1126,105,417,128,57,0,0,1117,9,0,983,51,0,0,0,0,0,72.6,35.4,9.33,37.03,11.37,5.06,0.7,0,0.1,0,98.3,99.2,0,0.8,0,0,0,0,0,0,0,0,0,0,0
110010098032,11,District of Columbia,001,District of Columbia,009803,2,,0.054,0,699,0,0,699,995,96,312,222,71,0,0,995,0,0,890,10,0,0,0,0,0,76.8,40,9.65,31.36,22.31,7.14,1.86,0,0.57,0,95.71,100,0.43,0,0.29,0,0,0,0,0,0,0,0,0,0
110010098033,11,District of Columbia,001,District of Columbia,009803,3,,0.069,0,1058,0,0,1058,960,101,155,272,253,0,0,952,0,0,857,17,0,0,0,0,0,70.8,31.8,10.52,16.15,28.33,26.35,0.95,0,1.42,0,95.84,99.17,0.19,0,0.09,0,0,0,0,0,0,0,0,0,0
110010098041,11,District of Columbia,001,District of Columbia,009804,1,,0.136,0,1680,0,0,1680,1792,209,494,427,102,159,3,1523,0,9,1673,154,30,0,9,0,39,71.2,35,11.66,27.57,23.83,5.69,2.32,8.87,0.77,0.17,94.88,84.99,0.3,0,0.24,0.5,0,0,0.18,0,4.27,0,1.28,0,5.55
110010098042,11,District of Columbia,001,District of Columbia,009804,2,,0.064,0,793,0,0,793,1034,144,255,312,117,57,24,953,0,0,978,93,0,0,0,0,0,72.8,30,13.93,24.66,30.17,11.32,2.14,5.51,0.13,2.32,96.72,92.17,0,0,0,0,0,0,0,0,0,0,0,0,0
110010098071,11,District of Columbia,001,District of Columbia,009807,1,,0.205,0,693,0,0,693,969,123,247,250,217,3,57,890,0,0,941,67,0,0,0,0,0,80.3,22.9,12.69,25.49,25.8,22.39,1.44,0.31,2.31,5.88,93.51,91.85,0,0,1.44,0,0,0,0,0,0,0,0,0,0
110010098072,11,District of Columbia,001,District of Columbia,009807,2,,0.196,0,2379,0,0,2379,2400,194,528,771,286,0,61,2339,0,0,2233,6,0,0,0,0,0,73.5,29.3,8.08,22,32.13,11.92,2.02,0,0.92,2.54,95.17,97.46,0.13,0,0.13,0,0,0,0.04,0,0,0,0,0,0
110010098101,11,District of Columbia,001,District of Columbia,009810,1,,0.11,0,1510,0,0,1510,1692,110,658,318,97,0,0,1651,0,0,1427,0,0,0,0,0,0,66.1,35.9,6.5,38.89,18.79,5.73,0.66,0,0.4,0,97.48,97.58,0.07,0,0,0,0,0,0.33,2.42,0,0,0,0,0
110010098102,11,District of Columbia,001,District of Columbia,009810,2,,0.044,0,997,0,0,997,1222,145,311,383,64,0,0,1189,0,0,1064,0,0,0,0,0,0,73.2,30.6,11.87,25.45,31.34,5.24,1.2,0,0.9,0,96.99,97.3,0.2,0,0.1,0,0,0,0.1,0,0,0,0,0,0
110010098111,11,District of Columbia,001,District of Columbia,009811,1,,0.091,0,2124,0,0,2124,2015,359,744,301,38,13,0,2002,0,0,1873,26,0,0,0,0,0,65.0,41.9,17.82,36.92,14.94,1.89,1.13,0.65,0.19,0,96.56,99.35,0.14,0,0.05,0,0,0,0.28,0,0,0,0,0,0
